player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Michael Gordon,17823,HB,ARK STATE,11,159,29,19,57.3,627,0,1095,3,4,29,410,46.2,32,1,113,0,44,90.4,63.4,54.0,,60.8,57.2,65.1,57.2,70,1,191,25,204,255,0,0,31,184,13,1095,410,2.58,6.9,0.94,0
AJ Ouellette,45974,HB,OHIO,10,158,32,12,39.4,306,0,774,0,3,32,459,56.8,22,0,259,1,51,81.3,70.1,86.0,,71.6,69.0,68.2,57.8,65,0,133,21,125,221,3,1,24,179,7,777,459,2.89,4.9,1.06,0
Steven Lakalaka,45793,HB,HAWAII,10,158,18,7,23.8,153,1,644,3,3,18,329,26.5,14,1,180,0,70,90.4,56.0,3.9,,55.6,39.7,60.3,49.8,30,3,53,7,120,178,0,0,10,165,2,644,329,2.08,4.1,0.44,0
Synjyn Days,9841,HB,GA TECH,14,157,20,10,31.7,289,0,913,1,0,20,386,30.7,21,0,176,3,35,60.2,70.0,27.3,,64.3,39.2,72.2,57.7,69,5,33,3,36,390,0,0,4,160,9,913,386,2.46,5.8,0.92,0
Tyler Ervin,10753,HB,S JOSE ST,12,156,29,11,43.6,384,0,880,1,9,29,478,63.3,21,0,285,0,11,90.3,74.9,53.2,,67.8,69.9,75.9,61.8,89,1,304,28,236,210,0,0,40,184,4,880,478,3.06,5.6,1.29,0
David Glasco II,13147,HB,UTSA,12,152,16,2,20.2,117,0,580,1,2,16,285,21.5,11,0,331,0,60,90.2,64.1,86.9,,52.4,46.7,65.2,81.5,70,0,18,5,161,208,0,0,12,157,5,580,285,1.88,3.8,0.11,0
Centarius Donald,12585,HB,LA MONROE,11,151,16,5,21.4,128,1,599,5,11,16,374,38.7,10,2,209,3,77,60.5,52.6,48.6,,60.1,48.4,54.8,56.3,39,1,194,22,222,175,0,0,32,173,6,599,374,2.48,4.0,0.87,0
Cory Avery,31020,HB,KANSAS,12,151,19,7,21.7,137,0,632,1,3,19,319,27.5,18,0,198,1,22,80.4,64.1,85.7,,79.8,65.5,61.7,60.7,32,1,217,18,136,205,0,0,25,169,5,632,319,2.11,4.2,1.6,0
Teriyon Gipson,45968,HB,NEW MEXICO,11,150,13,9,35.4,287,0,810,1,1,13,322,18.2,21,0,241,2,19,70.1,68.4,15.2,,46.1,74.4,69.7,53.1,57,2,123,15,71,343,0,0,19,165,8,810,322,2.15,5.4,1.73,0
Karlos Williams,9588,HB,FLORIDA ST,12,150,22,8,25.1,172,1,685,0,3,22,399,37.2,24,1,167,2,44,80.8,73.5,19.9,,63.0,76.7,72.4,73.0,28,4,265,29,216,183,0,0,32,179,12,685,399,2.66,4.6,1.23,0
