player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
DeAndrew White,9697,WR,HST,2,19.0,0,20.0,0.0,0,1,0,66.7,2,1,13,0,26.5,70.3,46.0,,45.5,0.0,0,0,24,0.0,0,62,0,1,96.8,60,80.6,50,47.1,5,0,19.4,12,24,1,1.0,24.0,0.4
Ben Koyack,9662,TE,JAX,16,4.8,0,100.0,,0,0,0,0.0,0,0,15,0,74.6,68.8,54.4,50.3,47.0,73.6,103,0,21,20.0,28,140,1,5,75.7,106,22.9,32,98.3,5,0,3.6,5,38,14,2.8,7.6,0.36
Tyler Eifert,7802,TE,CIN,2,10.4,0,80.0,100.0,3,3,0,0.0,0,2,7,0,73.4,68.0,65.4,75.8,65.1,35.4,23,0,22,6.2,4,65,1,4,89.2,58,55.4,36,105.0,5,0,4.6,3,46,12,3.0,11.5,0.79
Griff Whalen,7351,WR,BLT,2,8.0,0,80.0,100.0,2,2,0,0.0,0,0,3,0,72.1,69.0,55.6,,55.4,0.0,0,0,9,0.0,0,48,0,4,95.8,46,18.8,9,85.8,5,0,81.3,39,23,2,0.5,5.8,0.5
Rob Kelley,11090,HB,WAS,7,-1.8,0,80.0,,0,0,0,20.0,1,3,32,0,41.6,84.8,51.2,41.9,48.1,0.0,0,0,9,24.2,16,66,0,4,69.7,46,0.0,0,81.7,5,0,3.0,2,18,21,5.3,4.5,0.39
Elijhaa Penny,11300,HB,ARZ,11,-1.4,0,80.0,,0,0,0,20.0,1,2,1,0,41.6,80.3,68.5,75.7,61.2,0.0,0,0,18,34.1,14,41,0,4,65.9,27,2.4,1,98.3,5,0,7.3,3,38,42,10.5,9.5,1.41
Luke Stocker,6256,TE,TEN,12,2.8,0,80.0,0.0,0,1,0,0.0,0,1,31,0,72.1,67.0,65.1,73.2,59.1,56.4,31,0,12,32.7,18,55,2,4,63.6,35,1.8,1,131.3,5,1,1.8,1,30,21,5.3,7.5,0.86
Chad Williams,11853,WR,ARZ,6,15.0,0,60.0,50.0,1,2,0,0.0,0,1,1,0,70.5,68.7,60.9,,59.7,0.0,0,1,15,0.0,0,72,1,3,94.4,68,27.8,20,38.3,5,0,70.8,51,31,5,1.7,10.3,0.46
Jeff Janis,8870,WR,GB,3,21.4,0,40.0,,0,0,0,0.0,0,1,12,0,68.3,70.2,61.8,66.2,58.7,0.0,0,0,12,3.3,1,30,0,2,86.7,26,26.7,8,47.9,5,0,73.3,22,12,0,0.0,6.0,0.46
Keith Smith,9302,FB,DAL,11,0.6,0,100.0,,0,0,0,0.0,0,2,9,0,74.6,68.8,58.7,31.2,71.2,6.1,2,0,12,15.2,5,33,0,5,75.8,25,24.2,8,88.3,5,0,0.0,0,26,23,4.6,5.2,1.04
