player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jonah Panoke,97798,WR,HAWAII,8,13.5,1,50.0,60.0,3,5,0,15.4,2,4,180,0,49.8,69.4,53.9,,55.7,0.0,0,1,23,0.0,0,136,1,11,93.4,127,0.7,1,42.8,22,0,99.3,135,95,30,2.7,8.6,0.75
Derius Davis,78196,WR,TCU,9,13.0,0,68.2,66.7,2,3,0,0.0,0,7,305,0,83.8,84.2,72.1,,69.6,0.0,0,0,71,0.0,0,90,1,15,97.8,88,95.6,86,113.6,22,1,2.2,2,209,69,4.6,13.9,2.38
Bryan Thompson,61777,WR,UTAH,5,16.5,2,40.9,50.0,2,4,0,0.0,0,9,328,0,80.1,68.5,65.5,,65.1,0.0,0,2,33,0.0,0,143,0,9,95.1,136,18.9,27,48.9,22,1,81.1,116,187,43,4.8,20.8,1.38
Ma'jon Wright,131601,WR,ARIZONA,5,8.3,4,68.2,66.7,2,3,0,6.3,1,9,109,0,69.9,69.9,61.3,,61.6,0.0,0,2,29,0.0,0,143,0,15,96.5,138,4.9,7,69.5,22,1,95.1,136,176,70,4.7,11.7,1.28
Derrick Deese Jr.,84043,TE,S JOSE ST,6,12.7,2,54.5,42.9,3,7,0,7.7,1,11,285,0,67.5,69.2,66.2,65.3,65.1,52.8,112,1,31,5.7,12,212,0,12,88.7,188,45.8,97,99.1,22,4,1.4,3,163,28,2.3,13.6,0.87
De'Vion Warren,61141,WR,ARKANSAS,7,13.8,2,63.6,50.0,1,2,1,6.7,1,11,111,0,69.9,72.7,68.8,,67.1,0.6,1,1,52,0.0,0,158,1,14,92.4,146,51.9,82,127.5,22,3,47.5,75,273,125,8.9,19.5,1.87
Travis Koontz,98720,TE,TEXAS TECH,9,5.2,3,63.6,25.0,2,8,1,6.7,1,7,315,0,55.5,69.0,43.9,53.7,44.0,43.9,140,0,75,8.8,28,319,2,14,87.5,279,55.2,176,106.1,22,1,0.3,1,189,125,8.9,13.5,0.68
Tre Tucker,101106,WR,CINCINNATI,8,5.5,8,77.3,0.0,0,2,0,0.0,0,10,138,0,85.1,72.9,85.8,,82.9,0.0,0,0,45,0.0,0,87,0,17,95.4,83,89.7,78,149.1,22,3,10.3,9,227,173,10.2,13.4,2.73
Isaiah Spiller,99146,HB,TEXAS A&M,9,3.0,4,72.7,0.0,0,1,0,20.0,4,9,312,0,36.7,64.9,76.5,44.4,55.5,0.5,1,0,36,15.9,33,207,1,16,81.2,168,3.9,8,95.6,22,0,6.3,13,174,153,9.6,10.9,1.04
Donny Navarro III,84220,WR,ILLINOIS,8,12.3,1,36.4,0.0,0,1,0,11.1,1,5,187,0,61.0,70.2,59.8,,61.9,0.0,0,2,25,0.0,0,100,1,8,97.0,97,99.0,99,11.2,22,0,1.0,1,88,23,2.9,11.0,0.91
