Player,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Eric Young,East. Michigan,College Stats,6-4,310.0,5.18,,,,,
Roger Allen,Missouri Western State,,6-3,326.0,5.25,,,,,
Travis Bright,BYU,College Stats,6-4,321.0,5.26,35.5,34.0,108.0,7.75,4.72
Trevor Canfield,Cincinnati,,6-4,307.0,5.28,,29.0,,,
C.J. Davis,Pittsburgh,College Stats,6-2,308.0,5.51,25.5,21.0,88.0,8.09,4.93
Paul Fanaika,Arizona State,,6-5,327.0,5.48,,15.0,,,
Ray Feinga,BYU,,6-4,337.0,5.32,,30.0,,,
Juan Garcia,Washington,,6-2,307.0,5.28,25.0,34.0,93.0,8.0,4.87
Dan Gay,Baylor,,6-4,308.0,5.48,22.5,18.0,86.0,8.67,5.42
Tyronne Green,Auburn,College Stats,6-2,309.0,5.4,,22.0,,,
Greg Isdaner,West Virginia,,6-3,325.0,5.28,27.0,24.0,92.0,7.96,5.07
Herman Johnson,LSU,College Stats,6-7,364.0,5.5,,21.0,,,
Andy Kemp,Wisconsin,,6-5,313.0,5.35,25.5,23.0,91.0,7.86,4.86
Andy Levitre,Oregon State,College Stats,6-3,305.0,5.33,30.5,23.0,103.0,,4.52
Mo Miller,Michigan State,,6-3,327.0,5.38,28.5,21.0,97.0,8.42,5.03
Seth Olsen,Iowa,College Stats,6-5,306.0,5.23,24.5,23.0,90.0,7.59,4.7
Anthony Parker,Tennessee,College Stats,6-2,297.0,5.08,,24.0,,,
Duke Robinson,Oklahoma,College Stats,6-5,329.0,5.32,,,,,
Matt Slauson,Nebraska,,6-5,316.0,5.26,34.0,,110.0,7.86,4.86
Jaimie Thomas,Maryland,College Stats,6-4,323.0,5.29,,20.0,,,
Kraig Urbik,Wisconsin,College Stats,6-5,328.0,5.25,24.0,29.0,94.0,7.87,4.89
Louis Vasquez,Texas Tech,College Stats,6-5,333.0,5.22,,39.0,,,
Brandon Walker,Notre Dame,College Stats,6-3,306.0,5.09,34.0,26.0,109.0,,5.07
Jon Asamoah,Illinois,,6-4,305.0,5.07,,,,,
Zane Beadles,Utah,College Stats,6-4,310.0,5.28,,27.0,,,
Ciron Black,LSU,,6-4,327.0,5.53,25.5,23.0,91.0,8.52,5.13
Dorian Brooks,James Madison,,6-2,306.0,5.15,23.0,26.0,100.0,7.73,4.66
Brandon Carter,Texas Tech,College Stats,6-6,329.0,5.34,24.5,22.0,102.0,7.82,4.94
Chris DeGeare,Wake Forest,,6-4,325.0,5.12,32.5,27.0,103.0,7.84,4.9
Kurtis Gregory,Missouri,,6-4,305.0,5.31,25.5,26.0,91.0,7.62,4.93
Mike Iupati,Idaho,College Stats,6-5,331.0,5.24,27.5,27.0,92.0,7.85,4.93
Mike Johnson,Alabama,College Stats,6-5,312.0,5.37,25.0,,91.0,8.15,5.01
Shawn Lauvao,Arizona State,College Stats,6-3,315.0,5.22,26.5,33.0,101.0,7.56,4.51
Marshall Newhouse,TCU,College Stats,6-4,319.0,4.99,25.0,25.0,97.0,7.4,4.6
Alex Parsons,USC,College Stats,6-4,309.0,5.12,27.0,23.0,99.0,,
Mitch Petrus,Arkansas,College Stats,6-3,310.0,5.34,,45.0,,,
Dace Richardson,Iowa,,6-5,320.0,5.76,23.5,19.0,87.0,8.58,5.38
Chris Scott,Tennessee,,6-5,319.0,5.52,22.5,19.0,90.0,8.24,5.03
Shelley Smith,Colorado State,,6-3,300.0,5.03,34.0,26.0,112.0,7.67,4.71
Mike Tepper,California,,6-5,324.0,5.31,26.5,28.0,94.0,7.95,5.25
Adam Ulatoski,Texas,,6-5,300.0,5.52,26.0,24.0,94.0,7.98,4.99
David Arkin,Missouri State,,6-5,300.0,5.31,29.0,25.0,103.0,7.6,4.63
Clint Boling,Georgia,College Stats,6-5,308.0,5.28,31.0,28.0,102.0,7.66,4.64
Justin Boren,Ohio State,,6-3,309.0,5.4,,28.0,,7.57,4.75
Garrett Chisolm,South Carolina,,6-5,312.0,5.36,,,,,
Ray Dominguez,Arkansas,College Stats,6-4,334.0,5.45,27.5,21.0,90.0,7.74,4.9
Ricky Henry,Nebraska,College Stats,6-3,308.0,5.68,24.0,20.0,90.0,7.98,4.68
Zach Hurd,Connecticut,,6-7,316.0,5.28,28.0,,101.0,7.73,4.77
Maurice Hurt,Florida,,6-3,318.0,5.39,,18.0,,,
Ben Ijalana,Villanova,,6-4,317.0,5.2,,,,,
Andrew Jackson,Fresno State,College Stats,6-5,299.0,5.27,28.0,25.0,98.0,7.55,4.65
Carl Johnson,Florida,,6-5,361.0,5.4,25.5,25.0,96.0,,5.03
Daniel Kilgore,Appalachian State,,6-3,308.0,5.28,32.5,23.0,105.0,7.59,4.68
John Moffitt,Wisconsin,,6-4,319.0,5.51,30.5,23.0,102.0,7.79,4.53
Mike Person,Montana State,,6-4,299.0,5.07,28.0,21.0,108.0,7.44,4.5
Mike Pouncey,Florida,College Stats,6-5,303.0,5.12,25.0,,96.0,7.66,4.64
Will Rackley,Lehigh,,6-3,309.0,5.39,23.5,29.0,99.0,7.91,4.94
Steve Schilling,Michigan,,6-4,308.0,5.18,25.5,30.0,98.0,7.73,4.62
Caleb Schlauderaff,Utah,,6-4,305.0,5.18,,,,,
Isaiah Thompson,Houston,College Stats,6-3,300.0,6.0,25.0,23.0,82.0,9.04,5.56
Julian Vandervelde,Iowa,College Stats,6-2,301.0,5.12,31.0,23.0,104.0,7.46,4.59
Danny Watkins,Baylor,College Stats,6-3,310.0,5.36,26.0,29.0,92.0,7.61,4.62
Keith Williams,Nebraska,College Stats,6-4,318.0,5.28,24.5,23.0,93.0,8.42,5.03
Mark Asper,Oregon,College Stats,6-6,319.0,5.32,,23.0,,,
Kelvin Beachum,SMU,,6-3,303.0,5.38,28.5,19.0,101.0,7.79,4.8
James Brown,Troy,College Stats,6-3,306.0,5.19,25.5,24.0,102.0,7.7,4.78
David DeCastro,Stanford,College Stats,6-5,316.0,5.32,29.5,34.0,98.0,7.3,4.56
Adam Gettis,Iowa,,6-2,293.0,4.9,31.5,,112.0,7.99,4.65
Rishaw Johnson,California (PA),,6-3,313.0,5.12,31.5,22.0,108.0,7.87,4.53
Senio Kelemete,Washington,College Stats,6-4,307.0,5.39,25.0,21.0,101.0,7.77,4.58
Ronald Leary,Memphis,College Stats,6-3,315.0,5.23,29.0,30.0,104.0,7.87,4.91
