player,player_id,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Russ Hochstein,890,9,100.0,0,10,65.5,56.2,67.4,3,3,197,100.0,100.0,97.0,4,9,3,347,1,248,2,347,210,210,75,0,137,16
Kevin Boothe,3121,6,99.7,0,21,57.3,69.4,53.3,1,6,182,99.5,99.5,98.1,2,7,0,346,55,290,0,347,192,193,0,0,154,2
Cord Howard,6014,9,100.0,1,4,45.8,39.7,57.0,6,18,206,100.0,100.0,92.7,3,27,3,343,0,52,12,343,213,213,69,209,130,1
Jamey Richard,4550,6,100.0,0,14,55.7,55.8,56.2,2,10,195,100.0,100.0,96.9,3,12,0,322,0,322,0,322,200,200,0,0,122,0
Chris DeGeare,5684,5,100.0,0,18,54.9,65.4,51.0,0,5,181,100.0,100.0,97.5,1,7,2,315,0,315,0,315,188,188,0,0,127,0
Stanley Daniels,4293,5,100.0,0,10,57.1,67.3,49.2,0,7,191,100.0,100.0,97.1,1,9,2,300,0,300,0,300,198,198,0,0,102,0
Keydrick Vincent,998,5,100.0,0,30,66.1,69.1,67.2,2,9,185,100.0,100.0,97.0,2,11,0,298,0,298,0,298,195,195,0,0,103,0
Daniel Loper,2367,6,100.0,0,23,62.9,49.1,65.9,2,6,161,100.0,100.0,96.3,0,10,2,297,0,295,0,297,171,171,0,0,126,2
Justin Smiley,1767,5,100.0,0,15,66.1,69.9,69.2,3,1,135,100.0,100.0,97.0,4,6,2,269,0,269,0,269,142,142,0,0,127,0
Lance Louis,5170,5,100.0,0,6,73.0,51.6,80.5,4,9,166,100.0,100.0,95.5,0,14,1,263,0,0,0,263,183,183,263,0,80,0
Adam Snyder,2311,12,97.3,0,28,70.8,81.5,68.1,1,0,129,94.9,95.0,99.6,1,1,0,257,0,29,1,264,133,140,212,0,124,22
