player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Julio Jones,6158,WR,PHI,3,28.0,0,24,60.2,,53.8,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,50,0,36,0,0,14,0
Austin Ekeler,12164,HB,LAC,5,6.0,0,27,59.6,50.0,60.0,0,1,9,7.0,7.2,94.4,0,1,0,13,0,0,0,215,10,138,0,0,3,0
Mike Boone,31615,HB,HST,7,16.5,0,13,40.4,11.7,41.7,0,2,9,14.1,12.7,88.9,0,2,0,13,0,0,0,79,9,71,0,0,4,0
Blaine Gabbert,6162,QB,KC,1,61.9,0,16,40.2,,60.0,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,21,0,6,0,0,13,0
Elijah Higgins,98027,TE,ARZ,3,39.4,0,1,52.3,,57.4,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,33,0,20,0,0,13,16
Kendre Miller,123091,HB,NO,7,14.8,0,20,66.9,27.4,60.0,0,1,6,11.8,11.8,91.7,0,1,0,13,0,0,0,88,6,51,0,0,7,0
A.T. Perry,77975,WR,NO,2,54.2,0,20,51.5,,55.2,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,24,0,11,0,0,13,0
Trey Sermon,57372,HB,IND,5,29.3,0,14,39.1,72.6,60.0,0,0,7,25.9,25.0,100.0,0,0,0,12,0,0,0,41,7,28,0,0,5,0
Andy Dalton,6187,QB,CAR,3,14.8,0,5,81.1,,60.0,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,81,0,67,0,0,12,0
Sam Darnold,29048,QB,SF,4,66.7,0,28,63.5,,60.0,0,0,0,0.0,0.0,,1,0,0,12,0,0,0,18,0,1,0,0,12,0
Khalen Saunders,31534,DI,NO,3,91.7,1,20,62.9,,64.1,0,0,0,0.0,0.0,,1,0,0,11,0,0,0,12,0,1,0,0,11,0
Melvin Gordon III,9448,HB,BLT,2,27.5,0,3,69.9,36.9,49.6,0,1,5,25.0,23.8,90.0,0,1,0,11,0,0,0,40,5,21,0,0,6,0
Erik Ezukanma,78148,WR,MIA,2,37.9,0,17,60.3,,54.1,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,29,0,14,0,0,11,0
Bailey Zappe,60396,QB,NE,2,36.7,0,19,49.2,,60.0,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,30,0,19,0,0,11,0
Greg Dulcich,84068,TE,DEN,2,34.4,0,10,66.8,83.7,49.5,0,0,2,9.1,12.5,100.0,0,0,0,11,0,0,2,32,3,24,0,0,8,12
Simi Fehoko,84424,WR,LAC,2,57.9,0,27,61.3,,40.4,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,19,0,8,0,0,11,2
Demarcus Robinson,10760,WR,LA,5,42.3,0,26,59.6,,86.0,0,0,0,0.0,0.0,,1,0,0,11,0,0,0,26,0,15,0,0,11,0
Alex Armah,11948,FB,WAS,2,68.8,0,32,55.3,,53.0,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,16,0,5,0,0,11,4
Isaiah Spiller,99146,HB,LAC,5,23.9,0,27,53.8,30.0,,0,4,9,29.0,32.4,77.8,0,4,0,11,0,0,0,46,11,34,0,0,0,0
Tyler Huntley,46448,QB,BLT,3,44.0,0,3,45.2,,60.0,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,25,0,9,0,0,11,0
Juwann Winfree,38275,WR,IND,3,50.0,0,14,52.6,65.7,50.9,0,0,0,0.0,9.1,,0,0,0,10,0,0,0,20,1,11,0,0,9,0
Drew Lock,39517,QB,SEA,1,58.8,0,29,59.7,,60.0,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,17,0,6,0,0,10,0
Jonathan Taylor,57488,HB,IND,5,6.0,0,14,69.3,62.9,72.1,0,2,8,8.3,8.7,87.5,0,2,0,10,0,0,0,166,9,103,0,0,1,0
Jameis Winston,9434,QB,NO,3,32.3,0,20,62.0,,60.0,0,0,0,0.0,0.0,,1,0,0,10,0,0,0,31,0,18,0,0,10,0
Mitch Trubisky,11757,QB,PIT,2,20.4,0,25,34.8,,60.0,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,49,0,39,0,0,10,0
Laquon Treadwell,10657,WR,BLT,1,58.8,0,3,56.5,,62.1,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,17,0,7,0,0,10,0
Nick Allegretti,39268,G,KC,4,100.0,0,16,80.4,,80.8,0,0,0,,,,0,0,0,10,7,0,0,10,0,0,0,0,10,2
Kayshon Boutte,124087,WR,NE,1,18.2,0,19,45.2,,84.8,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,55,0,45,0,0,10,0
Chris Brooks,83644,HB,MIA,3,32.3,0,17,90.8,,80.2,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,31,0,5,0,0,10,2
Tanner Conner,22777,TE,MIA,2,90.9,0,17,64.4,,64.7,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,11,0,1,0,0,10,6
Tanner Hudson,66924,TE,CIN,3,13.3,0,7,68.0,,78.6,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,75,0,65,0,0,10,24
Tylan Wallace,61577,WR,BLT,2,76.9,0,3,55.7,,59.8,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,13,0,3,0,0,10,0
Ke'Shawn Vaughn,45866,HB,TB,5,16.7,0,30,53.6,39.8,60.0,0,0,4,16.0,17.2,100.0,0,0,0,10,0,0,0,60,5,29,0,0,5,0
Deuce Vaughn,122624,HB,DAL,4,20.8,0,9,43.8,19.4,60.0,0,2,5,22.7,22.7,80.0,0,2,0,10,0,0,0,48,5,22,0,0,5,0
Elijah Mitchell,57272,HB,SF,5,16.1,0,28,51.6,57.6,66.1,0,0,3,11.1,10.7,100.0,0,0,0,9,0,0,0,56,3,28,0,0,6,0
Patrick Taylor,40448,HB,GB,4,12.9,1,12,56.7,83.7,60.0,0,0,6,11.1,10.9,100.0,1,0,0,9,0,0,0,70,6,55,0,0,3,8
Chris Conley,9509,WR,SF,2,90.0,0,28,59.2,,60.2,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,10,0,1,0,0,9,0
Minkah Fitzpatrick,51206,S,PIT,3,100.0,0,25,60.0,,60.0,0,0,0,,,,3,0,0,9,0,0,0,9,0,0,0,0,9,0
Britain Covey,32933,WR,PHI,4,47.4,0,24,46.4,,34.4,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,19,0,10,0,0,9,0
Nick Vannett,10728,TE,LAC,1,81.8,0,27,47.1,,51.7,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,11,0,2,0,0,9,10
Jesse Luketa,81361,ED,ARZ,5,100.0,0,1,49.8,74.0,47.3,0,0,2,100.0,100.0,100.0,0,0,0,9,0,0,0,9,2,2,0,0,7,0
Nick Chubb,45783,HB,CLV,2,14.8,0,8,81.6,25.8,60.0,0,1,6,27.3,27.3,91.7,0,1,0,8,0,0,0,54,6,22,0,0,2,1
Brady Russell,60876,TE,SEA,3,100.0,0,29,61.4,,60.5,0,0,0,,,,0,0,0,8,0,0,0,8,0,0,0,0,8,8
Tyler Kroft,9518,TE,MIA,3,100.0,0,17,60.8,,60.0,0,0,0,,,,0,0,0,8,0,0,0,8,0,0,0,0,8,8
Ben Brown,59869,G,SEA,1,100.0,0,29,61.5,77.7,58.7,0,0,5,100.0,100.0,100.0,0,0,0,8,0,8,0,8,5,5,0,0,3,0
Colton Dowell,63721,WR,TEN,2,50.0,0,31,53.2,,48.1,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,16,0,8,0,0,8,0
Cordarrelle Patterson,7810,HB,ATL,6,12.7,0,2,60.1,76.4,60.2,0,0,2,4.9,4.8,100.0,0,0,0,8,0,0,0,63,2,42,0,0,6,2
N'Keal Harry,48297,WR,MIN,5,50.0,0,18,55.3,,58.6,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,16,0,8,0,0,8,0
Deon Jackson,57189,HB,NYG,2,15.4,0,21,29.7,6.0,59.4,0,1,3,9.4,9.4,83.3,0,1,0,8,0,0,0,52,3,32,0,0,5,0
Keelan Doss,48143,WR,LAC,3,40.0,0,27,48.4,,50.6,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,20,0,12,0,0,8,0
Eric Saubert,11929,TE,HST,1,66.7,0,13,64.8,69.6,71.9,0,0,1,25.0,20.0,100.0,0,0,0,8,0,0,0,12,1,5,0,0,7,10
Jacob Harris,34255,WR,JAX,2,57.1,0,15,45.9,,33.6,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,14,0,6,0,0,8,0
Malik Taylor,94375,WR,NYJ,2,19.5,0,22,51.6,,60.5,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,41,0,33,0,0,8,0
Tyquan Thornton,78092,WR,NE,3,20.0,0,19,52.9,,60.2,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,40,0,32,0,0,8,0
Parker Hesse,48369,TE,ATL,1,100.0,0,2,46.8,,47.9,0,0,0,,,,0,0,0,7,0,0,0,7,0,0,0,0,7,5
Corey Levin,11972,C,TEN,1,100.0,0,31,50.0,74.1,50.4,0,0,2,100.0,100.0,100.0,0,0,0,7,0,7,0,7,2,2,0,0,5,0
Damien Williams,9205,HB,ARZ,3,25.0,0,1,72.7,80.2,59.4,0,0,3,23.1,23.1,100.0,0,0,0,7,0,0,0,28,3,13,0,0,4,0
Mike Caliendo,41446,G,KC,1,100.0,0,16,44.8,,46.9,0,0,0,,,,0,0,0,7,0,7,0,7,0,0,0,0,7,0
Tommy Kraemer,40976,T,NO,1,100.0,0,20,51.4,,47.4,0,0,0,,,,0,0,0,7,0,0,0,7,0,0,0,7,7,0
Ty Montgomery,9527,WR,NE,6,23.3,0,19,64.4,,47.8,0,0,0,0.0,0.0,,1,0,0,7,0,0,0,30,0,21,0,0,7,0
Ty Chandler,62942,HB,MIN,6,20.0,0,18,63.8,21.0,60.0,0,2,5,20.8,20.0,80.0,0,2,0,7,0,0,0,35,5,25,0,0,2,1
Kyle Philips,84463,WR,TEN,4,8.6,0,31,67.0,,58.4,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,81,0,74,0,0,7,1
Jaren Hall,82094,QB,MIN,2,31.8,0,18,64.9,,60.0,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,22,0,13,0,0,7,0
Ronnie Rivers,57208,HB,LA,4,17.5,0,26,78.4,80.0,60.0,0,0,6,27.3,25.0,100.0,0,0,0,7,0,0,0,40,6,24,0,0,1,0
Damiere Byrd,9964,WR,ATL,1,36.8,0,2,51.7,,60.8,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,19,0,12,0,0,7,0
Giovanni Ricci,13756,TE,CAR,3,58.3,0,5,50.9,70.2,40.9,0,0,1,16.7,16.7,100.0,0,0,0,7,0,0,0,12,1,6,0,0,6,2
Jordan Mason,62946,HB,SF,4,15.0,0,28,86.6,16.7,60.0,0,0,1,7.7,7.1,100.0,0,0,0,6,0,0,0,40,1,14,0,0,5,0
Warren McClendon Jr.,99081,T,LA,1,100.0,0,26,44.9,14.2,60.0,0,1,5,100.0,100.0,70.0,0,2,1,6,0,0,0,6,5,5,0,6,1,0
Jalen Guyton,34164,WR,LAC,1,18.2,0,27,52.1,,61.2,0,0,0,0.0,0.0,,0,0,0,6,0,0,0,33,0,27,0,0,6,1
Jaleel McLaughlin,138346,HB,DEN,8,6.2,0,10,83.8,21.1,60.0,0,1,4,7.5,7.1,87.5,0,1,0,6,0,0,0,97,4,56,0,0,2,1
Brayden Willis,77917,TE,SF,2,100.0,0,28,61.0,,60.3,0,0,0,,,,0,0,0,6,0,0,0,6,0,0,0,0,6,6
J.K. Dobbins,57366,HB,BLT,1,20.0,0,3,53.5,48.2,59.6,0,1,2,12.5,11.1,75.0,0,1,0,6,0,0,0,30,2,18,0,0,4,0
Foster Sarell,52272,T,LAC,4,100.0,0,27,55.4,,56.5,0,0,0,,,,0,0,0,6,0,0,0,6,0,0,0,0,6,6
Elijah Dotson,57394,HB,LAC,3,40.0,0,27,54.8,,60.0,0,0,0,0.0,0.0,,0,0,0,6,0,0,0,15,0,5,0,0,6,0
Tre'Quan Smith,48228,WR,DEN,1,60.0,0,10,56.0,,60.9,0,0,0,0.0,0.0,,0,0,0,6,0,0,0,10,0,4,0,0,6,0
James Proche II,48037,WR,CLV,1,83.3,0,8,58.9,,60.0,0,0,0,0.0,0.0,,0,0,0,5,0,0,0,6,0,1,0,0,5,0
