Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle ▾
2019,Olabisi Johnson,Colorado State,WR,72.5,204,10.38,30.75,,4.51,14,38,124,4.16,6.88,
2019,Tyron Johnson,Oklahoma State,WR,72.88,193,9.25,30.875,,4.36,16,30,116,4.4,7.07,
2019,Derek Kief,Alabama,WR,76.5,204,8.88,32.625,,4.72,,35,125,4.32,7.07,
2019,Damarkus Lodge,Mississippi,WR,73.88,202,9.5,33.125,,4.55,11,33.5,119,4.53,7.06,
2019,Terry McLaurin,Ohio State,WR,72.13,208,9.13,31.5,,4.35,18,37.5,125,4.15,7.01,
2019,D.K. Metcalf,Mississippi,WR,75.38,228,9.88,34.875,,4.33,27,40.5,134,4.5,7.38,
2019,Jakobi Meyers,North Carolina State,WR,73.63,203,9.5,32,,4.63,13,37,118,4.23,7.07,
2019,Scott Miller,Bowling Green (OH),WR,69.13,174,8.75,29.25,,4.36,15,34,123,4.02,6.97,
2019,Dillon Mitchell,Oregon,WR,73.25,197,9,31.5,,4.46,12,36.5,122,4.29,6.93,
2019,Stanley Morgan,Nebraska,WR,72,202,9.88,32.375,,4.53,14,38.5,125,4.13,6.78,
2019,Nyqwan Murray,Florida State,WR,70.25,193,9,30.625,,4.63,8,34,113,4.4,7.2,
2019,Flynn Nagel,Northwestern,WR,71.25,188,8.38,29.25,,4.73,11,28.5,102,4.21,6.95,
2019,Kyrion Parker,Central Missouri,WR,74.75,207,10.25,33.25,,4.56,9,37,126,4.46,7.2,
2019,Tristan Payton,Central Florida,WR,71.63,197,8.25,31.5,,4.59,11,32.5,116,4.34,6.9,
2019,Michiah Quick,Frenso State (CA),WR,70.5,178,,,,,,,,,,
2019,T.J. Rahming,Duke,WR,68.25,163,8.63,29.125,,4.64,,32,114,4.63,6.88,
2019,Anthony Ratliff-Williams,North Carolina,WR,72.25,205,9.5,30.75,,4.57,14,35,126,4.38,6.9,
2019,Hunter Renfrow,Clemson,WR,70.5,180,7.88,29,,4.59,7,35,116,4.19,6.8,
2019,A.J. Richardson,Boise State,WR,71.38,202,9.5,30.125,,4.62,11,33.5,110,4.44,7.12,
2019,Riley Ridley,Georgia,WR,73.25,194,10.25,32.625,,4.58,13,30.5,124,4.28,7.22,
